[2.6061158518256714e+12, 0.0, 0.0]	[-2.6061158518256714e+12, 0.0, 0.0],
[2.677489285716581e+12, 0.0, 0.0]	[-2.677489285716581e+12, 0.0, 0.0],
[2.7384920243161216e+12, 0.0, 0.0]	[-2.7384920243161216e+12, 0.0, 0.0],
[2.790175607303995e+12, 0.0, 0.0]	[-2.790175607303995e+12, 0.0, 0.0],
[2.833543118663316e+12, 0.0, 0.0]	[-2.833543118663316e+12, 0.0, 0.0],
[2.8695350525939473e+12, 0.0, 0.0]	[-2.8695350525939473e+12, 0.0, 0.0],
[2.899021084709444e+12, 0.0, 0.0]	[-2.899021084709444e+12, 0.0, 0.0],
[2.922796391756527e+12, 0.0, 0.0]	[-2.922796391756527e+12, 0.0, 0.0],
[2.9415813351383315e+12, 0.0, 0.0]	[-2.9415813351383315e+12, 0.0, 0.0],
[2.9560235216521685e+12, 0.0, 0.0]	[-2.9560235216521685e+12, 0.0, 0.0],
[2.9667014510262935e+12, 0.0, 0.0]	[-2.9667014510262935e+12, 0.0, 0.0],
[2.9741291381428936e+12, 0.0, 0.0]	[-2.9741291381428936e+12, 0.0, 0.0],
[2.978761250886523e+12, 0.0, 0.0]	[-2.978761250886523e+12, 0.0, 0.0],
[2.9809984304931597e+12, 0.0, 0.0]	[-2.9809984304931597e+12, 0.0, 0.0],
[2.981192561459513e+12, 0.0, 0.0]	[-2.981192561459513e+12, 0.0, 0.0],
[2.9796518355084736e+12, 0.0, 0.0]	[-2.9796518355084736e+12, 0.0, 0.0],
[2.9766455124089033e+12, 0.0, 0.0]	[-2.9766455124089033e+12, 0.0, 0.0],
[2.9724083232303276e+12, 0.0, 0.0]	[-2.9724083232303276e+12, 0.0, 0.0],
[2.9671444921644795e+12, 0.0, 0.0]	[-2.9671444921644795e+12, 0.0, 0.0],
[2.9610313741893057e+12, 0.0, 0.0]	[-2.9610313741893057e+12, 0.0, 0.0],
[2.954222719914107e+12, 0.0, 0.0]	[-2.954222719914107e+12, 0.0, 0.0],
[2.9468515877875576e+12, 0.0, 0.0]	[-2.9468515877875576e+12, 0.0, 0.0],
[2.939032928925592e+12, 0.0, 0.0]	[-2.939032928925592e+12, 0.0, 0.0],
[2.9308658722339253e+12, 0.0, 0.0]	[-2.9308658722339253e+12, 0.0, 0.0],
[2.9224357380943022e+12, 0.0, 0.0]	[-2.9224357380943022e+12, 0.0, 0.0],
[2.9138158082701826e+12, 0.0, 0.0]	[-2.9138158082701826e+12, 0.0, 0.0],
[2.9050688783136147e+12, 0.0, 0.0]	[-2.9050688783136147e+12, 0.0, 0.0],
[2.8962486169393486e+12, 0.0, 0.0]	[-2.8962486169393486e+12, 0.0, 0.0],
[2.8874007547975537e+12, 0.0, 0.0]	[-2.8874007547975537e+12, 0.0, 0.0],
[2.878564122974737e+12, 0.0, 0.0]	[-2.878564122974737e+12, 0.0, 0.0],
[2.8697715594837114e+12, 0.0, 0.0]	[-2.8697715594837114e+12, 0.0, 0.0],
[2.8610507000308423e+12, 0.0, 0.0]	[-2.8610507000308423e+12, 0.0, 0.0],
[2.8524246675091123e+12, 0.0, 0.0]	[-2.8524246675091123e+12, 0.0, 0.0],
[2.843912672977421e+12, 0.0, 0.0]	[-2.843912672977421e+12, 0.0, 0.0],
[2.835530539356262e+12, 0.0, 0.0]	[-2.835530539356262e+12, 0.0, 0.0],
[2.8272911576956787e+12, 0.0, 0.0]	[-2.8272911576956787e+12, 0.0, 0.0],
[2.8192048846462544e+12, 0.0, 0.0]	[-2.8192048846462544e+12, 0.0, 0.0],
[2.811279888677965e+12, 0.0, 0.0]	[-2.811279888677965e+12, 0.0, 0.0],
[2.803522451633539e+12, 0.0, 0.0]	[-2.803522451633539e+12, 0.0, 0.0],
[2.7959372313606133e+12, 0.0, 0.0]	[-2.7959372313606133e+12, 0.0, 0.0],
[2.788527490428547e+12, 0.0, 0.0]	[-2.788527490428547e+12, 0.0, 0.0],
[2.781295295289936e+12, 0.0, 0.0]	[-2.781295295289936e+12, 0.0, 0.0],
[2.774241689683052e+12, 0.0, 0.0]	[-2.774241689683052e+12, 0.0, 0.0],
[2.767366845579883e+12, 0.0, 0.0]	[-2.767366845579883e+12, 0.0, 0.0],
[2.7606701945564014e+12, 0.0, 0.0]	[-2.7606701945564014e+12, 0.0, 0.0],
[2.754150542089166e+12, 0.0, 0.0]	[-2.754150542089166e+12, 0.0, 0.0],
[2.747806166958418e+12, 0.0, 0.0]	[-2.747806166958418e+12, 0.0, 0.0],
[2.7416349076561743e+12, 0.0, 0.0]	[-2.7416349076561743e+12, 0.0, 0.0],
[2.4279462443915874e+12, 0.0, 0.0]	[-2.4279462443915874e+12, 0.0, 0.0],
[2.4221040440319233e+12, 0.0, 0.0]	[-2.4221040440319233e+12, 0.0, 0.0],
[2.416408260676011e+12, 0.0, 0.0]	[-2.416408260676011e+12, 0.0, 0.0],
[2.4108562755092817e+12, 0.0, 0.0]	[-2.4108562755092817e+12, 0.0, 0.0],
[2.405445362869121e+12, 0.0, 0.0]	[-2.405445362869121e+12, 0.0, 0.0],
[2.4001727139645396e+12, 0.0, 0.0]	[-2.4001727139645396e+12, 0.0, 0.0],
[2.395035457601404e+12, 0.0, 0.0]	[-2.395035457601404e+12, 0.0, 0.0],
[2.3900306782618506e+12, 0.0, 0.0]	[-2.3900306782618506e+12, 0.0, 0.0],
[2.3851554318458906e+12, 0.0, 0.0]	[-2.3851554318458906e+12, 0.0, 0.0],
[2.385189764222861e+12, 0.0, 0.0]	[-2.385189764222861e+12, 0.0, 0.0],
